[2024-04-17 10:34:26,309] 284 root - ERROR - Error processing file: name 'uuid4' is not defined
[2024-04-17 10:34:33,620] 113 root - ERROR - Invalid MCQ data structure for key: correct
[2024-04-17 10:34:33,620] 113 root - ERROR - Invalid MCQ data structure for key: mcq
[2024-04-17 10:34:33,620] 113 root - ERROR - Invalid MCQ data structure for key: options
[2024-04-17 10:34:33,622] 113 root - ERROR - Invalid MCQ data structure for key: correct
[2024-04-17 10:34:33,622] 113 root - ERROR - Invalid MCQ data structure for key: mcq
[2024-04-17 10:34:33,622] 113 root - ERROR - Invalid MCQ data structure for key: options
[2024-04-17 10:34:33,646] 113 root - ERROR - Invalid MCQ data structure for key: correct
[2024-04-17 10:34:33,646] 113 root - ERROR - Invalid MCQ data structure for key: mcq
[2024-04-17 10:34:33,647] 113 root - ERROR - Invalid MCQ data structure for key: options
